ID THESE,status,title,discipline,DisciplineNew,DisciplineStandard,Topic,Localisation,time studied,Relation,Movement,subjects,abstract_fr,abstract_en,directeurTheseNP,directeurThesePPN_correct,auteurPpn,auteur,Institution,EtabSoutenanceNew,dateSoutenance,DateSoutenanceYear,langueThese,oaiSetSpec,etablissement,SubjectsNew,ecole_doctorale_id,ecole_doctorale_name
358202,enCours,"Eros, corps, sexualité dans la littérature russe contemporaine",Etudes Slaves,litterature,litterature,genre***litterature,,,,,"Littérature russe contemporaine,Amour érotique,Sexualité,Corps,Femme,Utopie,Contemporary Russian literature,Eros,Women,Sexuality,Body",La thèse porte sur la représentation de la sexualité et du corps dans la littérature russe contemporaine (corpus étudié est majoritairement constitué d’œuvres parues entre 2000 et 2010). L'objectif du travail est d'étudier l'évolution de la représentation de la sexualité après la disparition de la censure soviétique. La littérature russe contemporaine propose-t-elle une autre approche du corps et de la sexualité?,,despres isabelle,07146462X,,Anna Shcherbakova,Grenoble Alpes,,11/02/2014,2018,,Littératures des autres langues,Grenoble Alpes,,,"Langues, Littératures et Sciences Humaines"
48205,enCours,"L'interrogation, syntaxe et dialogisme. analyse contrastive francais-russe.",Sciences du langage,linguistique,linguistique,syntaxe,,21-21,compar fr,,"Enonciation,Francais (langue),Russe (langue),Textuel",,,bres jacques,28744365,,Natalia Barthelemy (Kumakujina),Montpellier 3,,26/09/2011,2018,,Linguistique générale,Montpellier 3,,,
38325,enCours,Lexique et collocations en russe et en francais dans le domaine de l'eau.,Sciences du langage,linguistique,linguistique,collocations***lexique,,,compar fr,,"Francais (langue),Russe (langue),Traduction,Vocabulaire,Description lexicologique,Discours specifique",,,portine henri,27079996,,Natalia Glebova,Bordeaux 3,Bordeaux 3,26/09/2011,2018,,Linguistique générale,Bordeaux 3,,,
72020,enCours,Les schémas syntaxiques  phraséologisés  à valeur modale du russe moderne.,Sciences du langage,linguistique,linguistique,syntaxe,,21-21,,,,"Ce  projet de thèse s'inscrit dans la problématique générale de la description des interrelations entre la sémantique et la syntaxe. l'objet du présent travail consiste en l'étude des schémas syntaxiques phraséologisés de la langue russe. prenant en compte le nombre considérable de ces unités linguistiques, nous centrerons notre étude sur les schémas  qui expriment les valeurs modales suivantes : impossibilité,  nécessité, obligation, opportunité. dans notre recherche, nous allons tenter de mettre en évidence la structure de ces constructions puis définir le spectre des significations comprises dans ces schémas syntaxiques phraséologisés. après l'analyse de ces schémas, nous proposerons une classification. les principes de la classification et de la description de ces unités phraséologiques se conçoivent du point de vue pragmatique et énonciatif, sémantique et structurel.\
dans la première  partie de notre étude, nous présenterons l'objet de notre recherche, les objectifs que nous nous sommes fixés, le cadre théorique que nous  adopterons. nous allons proposer un panorama des différentes approches d'observation des constructions figées présentées dans la littérature linguistique. a l'étape suivante de notre recherche nous procéderons à l'analyse détaillée des structures de ces unités phraséologiques.",,cardey-greenfield sylviane,32152701,,Vladimir Tchoudnov,Besançon,,26/09/2011,2018,,Linguistique générale,"Besançon,Université d'Etat Lomonossov à Moscou",,,
63497,enCours,"Classifications morphologiques des verbes russes : émergence, évolution et perspectives d'une complexité épistémologique",Sciences du langage,linguistique,linguistique,morphologie,,21-21,,,"Verbe russe,Classification,Conjugaison,Épistémologie,Didactique,Fréquence,Russian verb,Classification,Conjugation,Epistemology,Didactic,Frequency","Cette recherche vise la description et l’explication des différentes  classifications concernant le verbe russe, partie du discours la plus vaste et la plus difficile à organiser dans cette langue, de par ses  nombreuses catégories et un système compliqué de conjugaison, ce qui a pour conséquence une multiplicité de propositions, au cours des siècles, tentant de maîtriser cette complexité. \
Ces tentatives diffèrent selon les idées dominantes de l’époque : par le choix de l’objet (slavon, vieux russe…), le point de vue jugé pertinent (diachronique,  synchronique, logique…), le critère linguistique adopté (morphologique, sémantique…) et donc par les méthodologies dépendant de ces options théoriques, chacune révélant des faits nouveaux (telle la découverte de l’aspect) mais du même coup une complication supplémentaire pour le classement, et donc des difficultés accrues dans l'acquisition ou l'apprentissage du système verbal russe. Notre objectif est double : saisir pourquoi les classifications existantes aboutissent à des modèles trop complexes pour être enseignés tels quels, et déterminer le point de vue à adopter pour pallier le problème pédagogique : notre hypothèse est d’intégrer le critère de la fréquence (jamais pris en compte jusqu’ici).",This research concerns  the description and explanation of various classifications of Russian verbs***which  constitute the largest and most difficult-to-organise part of speech in the Russian language due to the numerous categories and the complicated system of conjugation which have led***over the centuries***to numerous propositions attempting to master this complexity. These attempts differ***according to the dominant ideas of each epoch: in the choice of the objective (Slavonic***Old Russian...)***the viewpoint judged pertinent (diachronical***synchronical***logical...)***the linguistic criterion adopted (morphological***semantic...) and therefore by the methodologies  dependant on these theoretical options***each one revealing new facts (such as the discovery of the aspects)***but at the same time becoming an extra complication for a classification and therefore adding more difficulties for acquiring or learning the Russian verb system. Ours is a double objective : to grasp why the existing classifications lead to models that are too complex to be taught as is***and to determine the proper viewpoint from which to remedy the pedagogical problem (which has never been taken into account so far).,bracquenier christine,75523086,,Hanna Zhurauliova,Paris 10,,26/09/2011,2018,,Linguistique générale,"Paris 10,",,122618882,"Ecole doctorale Connaissance, langage et modélisation (Nanterre)"
89830,enCours,Continuité et changement : l’évolution de la politique universitaire russe de 1917 à 2015,Science politique,science politique,science politique,education***politique universitaire***institutions,,1917-2015,,,,"Cette thèse a pour objectif d’étudier la politique universitaire russe de 1917 à 2015. Je cherche à démontrer à travers l’analyse de cette évolution le poids du contexte soviétique sur la transition de la Russie vers une économie de marché, notamment, comment l’État agit vis-à-vis du nouveau contexte envers les universités. En axant sa politique autour de nouvelles problématiques, liées au capitalisme et à la démocratie, les décideurs politiques en Russie tendent vers l’exploration des concepts de « marché » et de « modèle américain » dans la politique universitaire russe. Notre analyse montre le cadre des relations Etat-universités à travers les virages politiques de l’histoire, où l’État demeure l’acteur principal.",,merchant jennifer,56958315,,Darya Tyutereva,Paris 2,Paris 2,21/09/2012,2018,,Science politique,"Paris 2,",,117605344,"Ecole doctorale Georges Vedel Droit public interne, science administrative et science politique (Paris)"
92997,enCours,"Esthétique, communication et représentations. La mafia et le cinéma russe (1990-2010)",cinema,histoire du cinema,histoire de l'art,transition***propagande***criminalite***cinema,russie,1990-2010,,,,"Le cinéma a toujours été la partie intégrale de changements les plus importants pendant cent ans, mais il y a peu de nations où ces changements sont passés plus cruellement qu'en Russie. Sur la terre où la relation du cinéma avec l'histoire a été très convulsive. Ou les ""Romanovs"" ont été remplacés par les communistes, où les guerres les plus brutales ont eu lieu, où les communistes ont été remplacés par les oligarque, les films ont parlé par la voix la plus magique et réelle en même temps. Depuis le début des années 90, les pays de l'ancien bloc soviétique ont été soumis à une médecine économique de cheval par leurs créanciers extérieurs, avec des conséquences dévastatrices. La pauvreté et la désorganisation de la production - la production cinématographique en première ligne, ont favorisé l'essor de l'économie criminelle. Ces nouvelles sources de financement ont produit de nouveaux genres du cinéma devenus très vite populaire et aimé par le spectateur.\
Ce travail de doctorat s'appuiera sur trois hypothèses :\
Hypothèse 1 : L'arrivée de la Mafia russe dans les circuits de financement du cinéma est aussi une médiation, une communication entre la vie de l'Organisation et le grand public. Elle s'exprime notamment par la mise en place de ce que nous pourrions appeler une ""esthétique mafieuse"".\
Hypothèse 2 : Les attributs de cette esthétique mafieuse profitent des attributs de l'esthétique à laquelle elle succède : esthétique soviétique, socialisme. La question de la conscientisation de ces déplacements par les artistes du champ est une question cruciale.\
Hypothèse 3 : Cette esthétique mafieuse, cinématographique, mais aussi à l'oeuvre par d'autres signes, opère une communication publique et, donc, une évolution des représentations sociales des spectateurs. Nous allons faire la recherche de ces valeurs par le public.  \
Cette thèse revient en premier lieu sur les participants et les engagements de cette coopération, avant de retracer les principaux traits de ce mariage ciné-mafia-politique, nous allons aborder les formes nouvelles qui apparaissent dans ce nouveau stylé de cinéma ""criminelle"" très populaire et répandu dans la société russe . D'où provient la mafia russe ? Un peu d'histoire de la Mafia mondiale et le développement des Organisations criminelles russes à la fin des années 1980.\
La recherche ainsi sera illustre par une véritable guerre sanglotante des unions criminelles pendant la Grande Révolution Criminelle Russe de 1988-1994.\
Dans un troisième temps, nous analyserons les mécanismes de propagande véhiculées par le cinéma du genre « mafieux » et « criminel » russe (dont il appartient à une partie d'héritage soviétique), qu'ils soient explicites ou masqués, mais illustrant quoi qu'il en soit son utilisation, ayant un rôle de promotion de la toute puissance russe et cette ""brutalité"" dans le style de vie, que les occidentaux sont en train d'étudier pour comprendre depuis des siècles. Un état ""à part"" ainsi que son cinéma, que l'on peut aimer ou détester, mais auquel on ne peut pas rester indiffèrent !",,raichvarg daniel,30963958,,Oksana Dognon (Bykova),Dijon,,16/11/2012,2018,,Bibliothéconomie et sciences de l'information,"Dijon,",,147178576,"Ecole doctorale Langages, Idées, Sociétés, Institutions, Territoires (Dijon ; 2007-2016)"
349040,enCours,L'arbitrage sportif en droit français et droit russe : étude comparée,Droit comparé,droit compare,droit,sport***droit,,,compar fr,,,"Le projet de thèse consiste en une étude comparée de l’arbitrage sportif en droit français et en droit russe.\
\
L’arbitrage sportif est une nécessité liée à la commercialisation du sport.\
\
La thèse entend analyser notamment les questions suivantes : le statut juridique de l’arbitrage sportif, le rôle de l’arbitrage sportif dans le système juridictionnel des deux pays, la réglementation de l’arbitrage sportif (les normes nationales, européennes et internationales), les institutions nationales d’arbitrage sportif, la place et le rôle des tribunaux d’arbitrages dans la résolution des litiges sportifs, le contenu et la spécificité des litiges sportifs, la résolution des litiges affectés d’un élément d’extranéité par le tribunal arbitral du sport, le rôle des tribunaux étatiques dans l’arbitrage sportif.\
\
A travers de l’analyse comparée du droit français et du droit russe, les principaux problèmes de l’arbitrage sportif seront abordés et leur résolution sera proposée en prenant en considération l’expérience positive et négative de deux pays. \
\
Il faut ajouter, enfin, que le sujet s’inscrit en pleine actualité liée à l’organisation des Jeux Olympiques de 2014 à Sotchi.",,khairallah georges,60563834,,Alena Pershina,Paris 2,Paris 2,27/11/2013,2018,,Droit,"Paris 2,",,58709355,"École doctorale de droit international, droit européen, relations internationales et droit comparé (Paris)"
56414,enCours,Recherches sur le système nerveux dans l'empire russe au 19ème siècle. étude de cas : l'université impériale de dorpat et les provinces baltes.,Philosophie (métaphysique***épistémologie***esthétique),histoire moderne***philosophie,histoire moderne***philosophie,histoire des idees***philosophie***sante,russie,19-19,,DEIN,,"La thèse étudie les recherches médicales dans la russie tsariste du 19e siècle, comblant une lacune de l'historiographie tant en france qu'à l'étranger. elle s'appuie sur les matériaux primaires en langue latine, allemande et russe provenant de la faculté de médecine de l'université impériale de dorpat (1802). sa situation particulière dans les provinces baltes de l'empire et son statut d'université germanophone façonnée d'après le modèle de ses homologues allemandes font de dorpat un pont entre l'est et l'ouest. son rôle dans les échanges entre la russie et les pays germaniques mais aussi le reste de l'europe est traité en suivant le fil conducteur des sciences du système nerveux, auxquelles son corps d'enseignement prit une part active en participant aux débats internationaux. la pluralité des problèmes liés au fonctionnement et à la structure du système nerveux n'échappait pas aux savants de dorpat, de sorte qu'à partir des années 30, ces recherches, notamment dans les domaines de la neuroanatomie et de la neurohistologie, figuraient parmi les activités scientifiques les plus importantes. sont ainsi analysés entre autres les apports de karl-friedrich burdach (1776-1847), heinrich-friedrich bidder (1810-1894), alfred-wilhelm volkmann (1801-1877) et karl-wilhelm von kupffer (1829-1902). au-delà de l'historiographie, la thèse aborde la problématique des transferts culturels scientifiques : en particulier la manière dont les concepts, les méthodes ou les outils se sont imbriqués, les circonstances dans lesquelles ils ont connu des modes d'appropriations spécifiques qui en firent des éléments de la construction de l'identité scientifique et médicale de l'espace européen.\
mots clefs : empire russe, dorpat, 19e siècle, système nerveux, burdach, bidder, volkmann, kupffer, culture scientifique, médecine",,dupont jean-claude,,,Liva Pormale,Amiens,,26/09/2011,2018,,Philosophie***psychologie,Amiens,,,
66044,enCours,Commission bilatérale des affaires difficiles polono-russe dans le courant de la démocratisation des rapports dans l'europe postcommuniste.,Science politique,ri,ri,ri***democratisation***politique etrangere,,1991-,rel pl,,,"Le travail de cette thèse sera articulé autour de la commission des affaires difficiles polono-russes, appelée aussi groupe polono-russe des affaires difficiles. l'abréviation cad - commission affaires difficiles, sera utilisée dans le texte. la cad est un organisme bilatéral, polono-russe. son existence découle directement de l'éclatement de l'urss et de la modification des rapports internationaux qui l'ont suivi. le travail sera articulé autour de la cad dans le cadre des grandes problématiques : les origines de la cad ; le cadre général de la politique de réconciliation européenne ; reconstruction de l'identité nationale en russie et en pologne à la levée de l'idéologie communiste. la cad : aspects formels et fondamentaux. lecture transversale des actions de la cad. les ouvrages juxtaposant les points de vue des historiens des pays jadis opposés peuvent-ils jouer un rôle référentiel ? quel est leur rayon d'action sur la rédaction des manuels scolaires, sur les publications adaptées au grand public ? quel est enfin leur réel impact sur la modification de l'image réciproque ? méthodologie : analyse des ouvrages imprimés : livres,n presse, communiqués de colloques spécialisés -, sources internet. participation aux colloques et conférences s'inscrivant dans la problématique de commission des historiens et la politique de réconciliation. interview des parties prenantes. analyse de l'impact de la production de la cad sur l'apport en termes de connaissances scientifiques et des profits politiques et sociaux. analyse du processus de réconciliation entre les parties, et transformation de l'image réciproque.",,mink georges,27968413,,Agnieszka Marti (Szenk),Paris 10,Paris 10,26/09/2011,2018,,Science politique,Paris 10,,,
